,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std,real,real-std,imag,imag-std,vectors
1330,sc222,R:HP114,0.0,0.00026164824382717363,0.0016795887382155133,2.473828472882461,6.192397286528785,-0.0002054483251284229,0.0017729140359105092,0.00016202095296525675,0.001517543738736972,5
1331,sc222,R:HP114,2.0,0.0008246670501115785,0.0011880291189280928,-2.1345048551363814,1.617849217534515,-0.0004406398979219487,0.001423162603650275,-0.0006970740447750635,0.0010798500759491344,5
1332,sc222,R:HP114,4.0,0.0018327427534898743,0.0009551379067375531,-1.6871379537117983,0.8021655268428899,-0.00021274358736952275,0.0014760339815687758,-0.001820353308152786,0.0009460399138543031,5
1333,sc222,R:HP114,6.0,0.0023142457877853477,0.000927770842765158,-2.0112299162653193,0.4858094816066803,-0.000986636377512488,0.0011743794353210682,-0.0020933901272460562,0.0008634830182969431,5
1334,sc222,R:HP114,8.0,0.0031092872636426824,0.0014230828333456793,-1.9375684825339765,0.6390558527101491,-0.0011150033035017828,0.002069087692861069,-0.0029024877124685148,0.0013008622334514473,5
1335,sc222,R:HP114,10.0,0.004012570719623735,0.0007589039550614979,-1.745078145934891,0.24959458955963934,-0.0006957832978605193,0.0010083143400242787,-0.003951785594183986,0.0007498477088556623,5
1336,sc222,R:HP116,-10.0,0.003949760140885293,0.0008216344052928275,-0.300869262606438,0.22902863588214628,0.003772333927593875,0.0008122952488061132,-0.0011705135237366456,0.0009130035481069614,5
1337,sc222,R:HP116,-8.0,0.0027542348741005727,0.0008673871275377286,-0.36118195267096226,0.3236375101356127,0.002576531085250261,0.0008633298891334441,-0.0009732919954725359,0.0008953038785095993,5
1338,sc222,R:HP116,-6.0,0.0023164641129383916,0.0008890647851803226,-0.3272688966155609,0.38607570516045714,0.002193515021726924,0.0008883765987129147,-0.0007446461146006075,0.0008950141243265514,5
1339,sc222,R:HP116,-4.0,0.001521133434935677,0.0010767452727807332,-0.4650716793218463,0.6931847380900545,0.0013595729715702577,0.0010841525270424617,-0.000682208371287564,0.001046808906087792,5
1340,sc222,R:HP116,-2.0,0.0007850156059801208,0.0009690230558496065,-0.2204731796704155,1.2814577483744747,0.0007660135796587397,0.0009670301510145237,-0.00017167614106433074,0.0010078802532027204,5
1341,sc222,R:HP116,0.0,0.0004021052905977465,0.0016233786891757683,0.8350170102204107,4.0589181573150555,0.0002698790266958832,0.0016712467911563212,0.0002980838400121364,0.0015830614739956285,5
1342,sc222,R:HP116,2.0,0.0008831295713711931,0.001289256860423869,2.4543789588781184,1.494845971719439,-0.0006826738237766058,0.0012230886803855647,0.0005602448484015672,0.001381670739943194,5
1343,sc222,R:HP116,4.0,0.0019611438955076566,0.0009928615222699435,3.0804763740976027,0.710635191044609,-0.001957482403455228,0.0009910493810343513,0.00011978321689656636,0.0013949470873795382,5
1344,sc222,R:HP116,6.0,0.0023870162517799207,0.0010240364912054143,2.6400319103471044,0.473174481832283,-0.0020930151776641552,0.0009752069659331087,0.001147664607944737,0.0011718943155302965,5
1345,sc222,R:HP116,8.0,0.003225603755262822,0.00137511952385056,2.812502704288537,0.5676799785055251,-0.0030525076884578193,0.001303046515330356,0.0010424569045632142,0.0018830798632066422,5
1346,sc222,R:HP116,10.0,0.004138153245661163,0.0008262733403768082,2.9826395075533236,0.23593428283228,-0.004085985721417384,0.0008219447044721,0.0006550060831391434,0.0009799791509161031,5
1347,sc222,R:HP118,-10.0,0.003565633027848784,0.0008973942956585797,-2.089230147710316,0.2208987107123491,-0.0017668437927805811,0.0007288050563973469,-0.003097095720380437,0.0009458025009499477,5
1348,sc222,R:HP118,-8.0,0.002584516125932288,0.0009378452108247219,-2.1598033625211177,0.31967637191005965,-0.0014357908572251608,0.0007237636793446747,-0.0021490063330555074,0.0010189900171936597,5
1349,sc222,R:HP118,-6.0,0.0020875933275193714,0.0009306318084394959,-2.1479546473697764,0.38977788928508056,-0.0011390843781350646,0.0007155339904049436,-0.0017494378184411284,0.001008062821668277,5
1350,sc222,R:HP118,-4.0,0.001436872475133025,0.0010039275345258925,-2.2984499719025098,0.670987891021491,-0.0009556916972090074,0.0007929700477514945,-0.0010729659312767915,0.0011439423702959545,5
1351,sc222,R:HP118,-2.0,0.000679688275067979,0.0010521795847002928,-2.13552212163033,1.351171663825978,-0.0003637584293639445,0.000816465119624385,-0.0005741567349875475,0.0011330843811417463,5
1352,sc222,R:HP118,0.0,0.0003934287929830728,0.0016265211090364688,-0.9420851789025385,3.617598619524319,0.00023137659086395123,0.0011533483882623758,-0.0003181997617037028,0.0018278535694928703,5
1353,sc222,R:HP118,2.0,0.0008317913621438976,0.0012028761417825125,0.7295348246735274,1.4867734642956278,0.0006200875951699538,0.0010574821803114554,0.0005544080126166505,0.0013630968579035644,5
1354,sc222,R:HP118,4.0,0.0018749341804881689,0.0012156453289771936,1.1947304293974217,0.6097480442547542,0.0006885961015085123,0.0011293550166651017,0.0017439075635337213,0.0012285530833058733,5
1355,sc222,R:HP118,6.0,0.002267853988726375,0.0010800806849292927,0.82516699157571,0.46821937850709416,0.001538589917177696,0.000949401246958915,0.0016661040726621069,0.001180145645687652,5
