,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std
36,bare,R:HP310,0.0,0.0363754006060179,0.004661781659859634,5.57345125912347,0.2373033276944014
37,bare,R:HP312,0.0,0.037049949535915686,0.005471784941632811,4.5728994363427224,0.2649096338915458
38,bare,R:HP314,0.0,0.03633475301478175,0.004901959941438213,2.579150315018052,0.30668301711465323
39,bare,R:HP316,0.0,0.033585427032513125,0.003856492717310574,0.36220814695744374,0.30729944485765825
40,bare,R:HP318,0.0,0.0347468543981973,0.004003227623704093,6.102853626422798,0.2639448056750158
41,bare,R:HP320,0.0,0.03634668174877189,0.004261734462519225,3.9121156118429683,0.24722761295835927
42,bare,R:HP322,0.0,0.03722322341097669,0.004954510307448143,2.0413343387822196,0.25295518446026954
43,bare,R:HP324,0.0,0.035454125158422806,0.003944142943105953,0.1181196772169425,0.2666703988474807
44,bare,R:HP326,0.0,0.03477836699332049,0.004448960925962861,4.808055750178198,0.37697133414044404
45,bare,R:HP328,0.0,0.038133315929052766,0.005925380182620499,3.5439402088292686,0.26536555933637573
46,bare,R:HP330,0.0,0.038268801291683065,0.00567597477244047,1.3636741904742495,0.29648120310158377
47,bare,R:HP332,0.0,0.03643674971565083,0.004932057904712838,6.096790349449893,0.4178587176779705
